iter	RMSE
0	1198.839676
1	1198.807954
2	1198.786145
3	1198.7502
4	1198.710412
5	1198.672133
6	1198.633198
7	1198.609662
8	1198.589945
9	1198.581289
10	1198.554609
11	1198.517897
12	1198.485502
13	1198.474479
14	1198.438253
15	1198.407551
16	1198.382553
17	1198.364332
18	1198.364114
19	1198.346299
20	1198.3211
21	1198.285287
22	1198.276697
23	1198.269457
24	1198.255126
25	1198.225094
26	1198.203084
27	1198.185757
28	1198.168606
29	1198.149283
30	1198.129413
31	1198.117579
32	1198.096507
33	1198.084831
34	1198.077553
35	1198.077306
36	1198.048453
37	1198.009672
38	1197.998881
39	1197.961574
40	1197.951032
41	1197.941086
42	1197.919322
43	1197.899238
44	1197.887014
45	1197.887014
46	1197.885099
47	1197.882824
48	1197.866596
49	1197.853658
50	1197.829514
51	1197.823745
52	1197.78865
53	1197.785098
54	1197.771229
55	1197.747162
56	1197.734953
57	1197.72507
58	1197.692421
59	1197.688599
60	1197.655261
61	1197.632102
62	1197.617204
63	1197.601252
64	1197.59233
65	1197.581022
66	1197.565022
67	1197.541231
68	1197.499484
69	1197.491836
70	1197.479234
71	1197.460582
72	1197.460582
73	1197.442454
74	1197.420999
75	1197.417565
76	1197.417565
77	1197.387949
78	1197.38738
79	1197.377102
80	1197.339421
81	1197.33853
82	1197.331344
83	1197.310737
84	1197.288051
85	1197.284367
86	1197.280806
87	1197.255706
88	1197.233572
89	1197.233557
90	1197.21961
91	1197.194886
92	1197.182969
93	1197.165369
94	1197.150041
95	1197.135065
96	1197.110834
97	1197.10461
98	1197.089479
99	1197.07931
100	1197.070916
101	1197.060885
102	1197.025537
103	1197.019988
104	1197.013989
105	1196.975618
106	1196.964298
107	1196.958269
108	1196.955117
109	1196.94853
110	1196.915979
111	1196.900574
112	1196.881862
113	1196.850567
114	1196.839425
115	1196.835498
116	1196.81451
117	1196.799177
118	1196.7959
119	1196.778357
120	1196.753113
121	1196.751056
122	1196.731801
123	1196.722469
124	1196.716224
125	1196.7036
126	1196.670897
127	1196.669715
128	1196.654975
129	1196.622483
130	1196.609011
131	1196.602794
132	1196.595005
133	1196.591909
134	1196.58545
135	1196.581038
136	1196.575359
137	1196.571283
138	1196.554611
139	1196.538922
140	1196.534405
141	1196.531217
142	1196.530217
143	1196.52548
144	1196.514376
145	1196.502574
146	1196.466998
147	1196.461975
148	1196.440416
149	1196.428533
150	1196.402959
151	1196.388438
152	1196.378949
153	1196.37493
154	1196.370715
155	1196.360524
156	1196.341608
157	1196.323796
158	1196.309063
159	1196.298374
160	1196.296362
161	1196.283459
162	1196.269262
163	1196.246502
164	1196.239758
165	1196.237146
166	1196.199861
167	1196.17893
168	1196.155089
169	1196.148645
170	1196.136578
171	1196.118502
172	1196.101926
173	1196.056855
174	1196.051117
175	1196.035033
176	1195.992383
177	1195.979352
178	1195.966154
179	1195.962416
180	1195.936265
181	1195.927914
182	1195.922165
183	1195.919219
184	1195.905419
185	1195.893915
186	1195.886908
187	1195.866634
188	1195.848045
189	1195.835666
190	1195.807423
191	1195.802925
192	1195.794847
193	1195.773358
194	1195.764458
195	1195.733064
196	1195.717191
197	1195.706168
198	1195.699533
199	1195.689399
