iter	Passed	Remaining
0	43	4354
1	85	4198
2	126	4093
3	142	3428
4	184	3512
5	225	3538
6	267	3556
7	309	3557
8	325	3288
9	366	3297
10	409	3310
11	450	3301
12	492	3296
13	533	3278
14	556	3153
15	614	3224
16	656	3204
17	707	3224
18	749	3195
19	790	3162
20	833	3133
21	877	3112
22	920	3082
23	981	3106
24	1022	3068
25	1065	3032
26	1107	2993
27	1144	2944
28	1187	2907
29	1224	2856
30	1266	2818
31	1276	2713
32	1318	2677
33	1360	2641
34	1405	2609
35	1451	2580
36	1497	2549
37	1539	2511
38	1583	2477
39	1629	2443
40	1672	2406
41	1717	2371
42	1761	2335
43	1804	2296
44	1848	2259
45	1891	2220
46	1933	2179
47	1976	2140
48	2019	2101
49	2061	2061
50	2103	2021
51	2120	1957
52	2163	1918
53	2185	1862
54	2227	1822
55	2244	1763
56	2274	1715
57	2320	1680
58	2356	1637
59	2400	1600
60	2443	1561
61	2487	1524
62	2499	1467
63	2542	1429
64	2586	1392
65	2629	1354
66	2673	1316
67	2715	1277
68	2746	1233
69	2789	1195
70	2832	1156
71	2878	1119
72	2938	1086
73	2980	1047
74	3023	1007
75	3065	968
76	3089	922
77	3130	883
78	3172	843
79	3218	804
80	3254	763
81	3265	716
82	3279	671
83	3321	632
84	3362	593
85	3405	554
86	3447	515
87	3491	476
88	3532	436
89	3567	396
90	3608	356
91	3652	317
92	3694	278
93	3735	238
94	3778	198
95	3821	159
96	3863	119
97	3885	79
98	3927	39
99	3968	0
